187	Mississauga–Streetsville	670
188	Nepean	828
189	Newmarket–Aurora	591
190	Niagara Centre	336
191	Niagara Falls	547
192	Niagara West	685
193	Nickel Belt	181
194	Nipissing–Timiskaming	334
195	Northumberland–Peterborough South	719
196	Oakville	971
197	Oakville North–Burlington	846
198	Oshawa	454
199	Ottawa Centre	1083
200	Orléans	863
201	Ottawa South	850
202	Ottawa–Vanier	612
203	Ottawa West–Nepean	805
204	Oxford	712
205	Parkdale–High Park	512
206	Parry Sound–Muskoka	552
207	Perth–Wellington	751
208	Peterborough–Kawartha	575
209	Pickering–Uxbridge	458
210	Renfrew–Nipissing–Pembroke	769
211	Richmond Hill	576
212	Carleton	995
213	St. Catharines	431
214	Toronto–St. Paul's	735
215	Sarnia–Lambton	727
216	Sault Ste. Marie	221
217	Scarborough–Agincourt	460
218	Scarborough Centre	241
219	Scarborough–Guildwood	257
220	Scarborough North	315
221	Scarborough–Rouge Park	315
222	Scarborough Southwest	269
223	Simcoe–Grey	895
224	Simcoe North	543
225	Spadina–Fort York	551
226	Stormont–Dundas–South Glengarry	685
227	Sudbury	300
228	Thornhill	622
229	Thunder Bay–Rainy River	296
230	Thunder Bay–Superior North	236
231	Timmins–James Bay	172
232	Toronto Centre	461
233	Toronto–Danforth	415
234	University–Rosedale	812
235	Vaughan–Woodbridge	244
236	Waterloo	765
237	Wellington–Halton Hills	1337
238	Whitby	630
239	Willowdale	426
240	Windsor–Tecumseh	249
241	Windsor West	236
242	York Centre	294
243	York–Simcoe	367
244	York South–Weston	109
245	Humber River–Black Creek	98
246	Brandon–Souris	561
247	Charleswood–St. James–Assiniboia–Headingley	442
248	Churchill–Keewatinook Aski	84
249	Dauphin–Swan River–Neepawa	448
250	Elmwood–Transcona	248
251	Kildonan–St. Paul	338
252	Portage–Lisgar	535
253	Provencher	468
254	Saint Boniface–Saint Vital	325
255	Selkirk–Interlake–Eastman	416
256	Winnipeg Centre	174
257	Winnipeg North	81
258	Winnipeg South	370
259	Winnipeg South Centre	457
260	Battlefords–Lloydminster	443
261	Cypress Hills–Grasslands	598
262	Desnethé–Missinippi–Churchill River	205
263	Carlton Trail–Eagle Creek	612
264	Moose Jaw–Lake Centre–Lanigan	549
265	Prince Albert	527
266	Regina–Lewvan	592
267	Regina–Qu'Appelle	601
268	Regina–Wascana	544
269	Saskatoon–Grasswood	630
270	Saskatoon–University	609
271	Saskatoon West	291
272	Souris–Moose Mountain	634
273	Yorkton–Melville	569
274	Banff–Airdrie	1120
275	Battle River–Crowfoot	873
276	Bow River	826
277	Calgary Centre	1101
