areaId	areaName	round	ballots	totalPts	Chris ALEXANDER	Maxime BERNIER	Steven BLANEY	Michael CHONG	Kellie LEITCH	Pierre LEMIEUX	Deepak OBHRAI	Kevin O'LEARY	Erin O'TOOLE	Rick PETERSON	Lisa RAITT	Andrew SAXTON	Andrew SCHEER	Brad TROST	Undervotes	Remainder
67	Châteauguay–Lacolle	0	66	99.99997	0	30	2	1	4	1	0	0	0	0	2	0	25	1	0	0.00003
68	Chicoutimi–Le Fjord	0	67	99.99994	1	16	4	0	0	5	0	0	5	1	0	2	31	2	0	0.00006
69	Compton–Stanstead	0	138	99.99996	1	36	5	3	3	5	0	0	6	0	1	2	74	2	0	0.00004
70	Dorval–Lachine–LaSalle	0	115	99.99995	0	47	2	1	7	5	0	1	5	2	4	0	7	34	0	0.00005
71	Drummond	0	108	99.99993	4	26	11	1	3	6	0	0	3	1	0	0	51	1	0	0.00007
72	Gaspésie–Les Îles-de-la-Madeleine	0	19	99.99997	0	11	0	0	6	0	0	0	1	0	0	0	1	0	0	0.00003
73	Gatineau	0	138	99.99994	1	85	4	4	7	18	0	1	10	1	1	0	3	3	0	0.00006
74	Hochelaga	0	49	99.99995	0	16	1	4	7	1	0	0	3	0	1	0	3	13	0	0.00005
75	Honoré-Mercier	0	41	99.99996	0	22	0	1	4	5	0	0	2	0	2	0	0	5	0	0.00004
76	Hull–Aylmer	0	207	99.99992	1	89	1	22	8	27	1	2	11	1	6	1	23	13	0	0.00008
77	Joliette	0	67	99.99995	1	27	6	0	11	2	0	0	2	0	1	0	16	1	0	0.00005
78	Jonquière	0	53	99.99997	0	17	1	0	3	1	0	1	3	0	0	0	27	0	0	0.00003
79	La Pointe-de-l'Île	0	30	99.99997	0	15	2	1	3	1	0	1	2	0	0	0	2	3	0	0.00003
80	La Prairie	0	71	99.99997	2	36	3	0	9	3	0	1	3	0	0	0	11	3	0	0.00003
81	Lac-Saint-Jean	0	165	99.99998	1	21	6	0	4	4	0	0	10	0	0	0	118	1	0	0.00002
82	Lac-Saint-Louis	0	379	99.99997	2	118	0	18	44	9	0	4	15	1	9	1	122	35	0	0.00003
83	LaSalle–Émard–Verdun	0	91	99.99996	2	30	2	13	5	11	0	0	3	0	2	0	7	16	0	0.00004
84	Laurentides–Labelle	0	40	100	0	17	2	1	1	0	0	0	4	0	1	0	12	2	0	0.00000
85	Laurier–Sainte-Marie	0	93	99.99993	1	26	2	38	0	4	3	3	5	0	2	0	4	5	0	0.00007
86	Laval–Les Îles	0	107	99.99994	1	68	0	1	9	4	0	1	2	0	0	0	16	5	0	0.00006
